iter	Passed	Remaining
0	2	200
1	3	176
2	4	160
3	5	143
4	7	136
5	8	130
6	9	127
7	10	123
8	13	132
9	14	130
10	15	129
11	17	125
12	18	122
13	19	119
14	20	116
15	21	113
16	22	111
17	23	108
18	24	105
19	25	102
20	28	107
21	30	107
22	31	107
23	33	105
24	34	103
25	36	102
26	37	100
27	38	97
28	39	95
29	40	94
30	41	92
31	43	92
32	44	90
33	46	89
34	47	87
35	48	86
36	49	84
37	50	82
38	51	81
39	52	79
40	53	77
41	54	75
42	55	73
43	56	71
44	57	69
45	59	69
46	60	68
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	37
68	80	36
69	81	35
70	82	33
71	83	32
72	84	31
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	91	22
80	92	21
81	92	20
82	94	19
83	95	18
84	96	16
85	97	15
86	97	14
87	98	13
88	99	12
89	100	11
90	100	9
91	101	8
92	102	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	108	1
99	109	0
